0 0 -375
0 1 25
0 5 25
0 25 25
1 0 25
1 1 -100
1 2 25
1 6 25
1 26 25
2 1 25
2 2 -100
2 3 25
2 7 25
2 27 25
3 2 25
3 3 -100
3 4 25
3 8 25
3 28 25
4 3 25
4 4 -75
4 9 25
4 29 25
5 0 25
5 5 -100
5 6 25
5 10 25
5 30 25
6 1 25
6 5 25
6 6 -125
6 7 25
6 11 25
6 31 25
7 2 25
7 6 25
7 7 -125
7 8 25
7 12 25
7 32 25
8 3 25
8 7 25
8 8 -125
8 9 25
8 13 25
8 33 25
9 4 25
9 8 25
9 9 -100
9 14 25
9 34 25
10 5 25
10 10 -100
10 11 25
10 15 25
10 35 25
11 6 25
11 10 25
11 11 -125
11 12 25
11 16 25
11 36 25
12 7 25
12 11 25
12 12 -125
12 13 25
12 17 25
12 37 25
13 8 25
13 12 25
13 13 -125
13 14 25
13 18 25
13 38 25
14 9 25
14 13 25
14 14 -100
14 19 25
14 39 25
15 10 25
15 15 -100
15 16 25
15 20 25
15 40 25
16 11 25
16 15 25
16 16 -125
16 17 25
16 21 25
16 41 25
17 12 25
17 16 25
17 17 -125
17 18 25
17 22 25
17 42 25
18 13 25
18 17 25
18 18 -125
18 19 25
18 23 25
18 43 25
19 14 25
19 18 25
19 19 -100
19 24 25
19 44 25
20 15 25
20 20 -75
20 21 25
20 45 25
21 16 25
21 20 25
21 21 -100
21 22 25
21 46 25
22 17 25
22 21 25
22 22 -100
22 23 25
22 47 25
23 18 25
23 22 25
23 23 -100
23 24 25
23 48 25
24 19 25
24 23 25
24 24 -75
24 49 25
25 0 25
25 25 -100
25 26 25
25 30 25
25 50 25
26 1 25
26 25 25
26 26 -125
26 27 25
26 31 25
26 51 25
27 2 25
27 26 25
27 27 -125
27 28 25
27 32 25
27 52 25
28 3 25
28 27 25
28 28 -125
28 29 25
28 33 25
28 53 25
29 4 25
29 28 25
29 29 -100
29 34 25
29 54 25
30 5 25
30 25 25
30 30 -125
30 31 25
30 35 25
30 55 25
31 6 25
31 26 25
31 30 25
31 31 -150
31 32 25
31 36 25
31 56 25
32 7 25
32 27 25
32 31 25
32 32 -150
32 33 25
32 37 25
32 57 25
33 8 25
33 28 25
33 32 25
33 33 -150
33 34 25
33 38 25
33 58 25
34 9 25
34 29 25
34 33 25
34 34 -125
34 39 25
34 59 25
35 10 25
35 30 25
35 35 -125
35 36 25
35 40 25
35 60 25
36 11 25
36 31 25
36 35 25
36 36 -150
36 37 25
36 41 25
36 61 25
37 12 25
37 32 25
37 36 25
37 37 -150
37 38 25
37 42 25
37 62 25
38 13 25
38 33 25
38 37 25
38 38 -150
38 39 25
38 43 25
38 63 25
39 14 25
39 34 25
39 38 25
39 39 -125
39 44 25
39 64 25
40 15 25
40 35 25
40 40 -125
40 41 25
40 45 25
40 65 25
41 16 25
41 36 25
41 40 25
41 41 -150
41 42 25
41 46 25
41 66 25
42 17 25
42 37 25
42 41 25
42 42 -150
42 43 25
42 47 25
42 67 25
43 18 25
43 38 25
43 42 25
43 43 -150
43 44 25
43 48 25
43 68 25
44 19 25
44 39 25
44 43 25
44 44 -125
44 49 25
44 69 25
45 20 25
45 40 25
45 45 -100
45 46 25
45 70 25
46 21 25
46 41 25
46 45 25
46 46 -125
46 47 25
46 71 25
47 22 25
47 42 25
47 46 25
47 47 -125
47 48 25
47 72 25
48 23 25
48 43 25
48 47 25
48 48 -125
48 49 25
48 73 25
49 24 25
49 44 25
49 48 25
49 49 -100
49 74 25
50 25 25
50 50 -100
50 51 25
50 55 25
50 75 25
51 26 25
51 50 25
51 51 -125
51 52 25
51 56 25
51 76 25
52 27 25
52 51 25
52 52 -125
52 53 25
52 57 25
52 77 25
53 28 25
53 52 25
53 53 -125
53 54 25
53 58 25
53 78 25
54 29 25
54 53 25
54 54 -100
54 59 25
54 79 25
55 30 25
55 50 25
55 55 -125
55 56 25
55 60 25
55 80 25
56 31 25
56 51 25
56 55 25
56 56 -150
56 57 25
56 61 25
56 81 25
57 32 25
57 52 25
57 56 25
57 57 -150
57 58 25
57 62 25
57 82 25
58 33 25
58 53 25
58 57 25
58 58 -150
58 59 25
58 63 25
58 83 25
59 34 25
59 54 25
59 58 25
59 59 -125
59 64 25
59 84 25
60 35 25
60 55 25
60 60 -125
60 61 25
60 65 25
60 85 25
61 36 25
61 56 25
61 60 25
61 61 -150
61 62 25
61 66 25
61 86 25
62 37 25
62 57 25
62 61 25
62 62 -150
62 63 25
62 67 25
62 87 25
63 38 25
63 58 25
63 62 25
63 63 -150
63 64 25
63 68 25
63 88 25
64 39 25
64 59 25
64 63 25
64 64 -125
64 69 25
64 89 25
65 40 25
65 60 25
65 65 -125
65 66 25
65 70 25
65 90 25
66 41 25
66 61 25
66 65 25
66 66 -150
66 67 25
66 71 25
66 91 25
67 42 25
